ID,regnum,regnum2,name1,name2
H4P00021,764,764,Gesandter Heinrichs IV.,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Gesandter Heinrichs IV."
H4P00021,767,767,Gesandter Heinrichs IV.,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Gesandter Heinrichs IV."
H4P00021,1194,1194,dessen namentlich nicht genannter Gesandter,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // dessen namentlich nicht genannter Gesandter"
H4P00021,H26,H26,dessen namentlich nicht genannter Gesandter,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // dessen namentlich nicht genannter Gesandter"
H4P00022,523,523,,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden"
H4P00022,891,891,,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden"
H4P00022,524,524,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,525,525,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,526,526,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,530,530,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,532,532,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,535,535,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,536(†),536,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,539,539,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,544,544,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
