ID,name1
H4O02633,"<i>Buobenvvanch</i>, Wald bei Oberwang in Österreich (Oberösterreich)"
H4O02634,"<i>Bv̊chberg</i>, entweder Sengenbühl, ehem. Götzleinsbuchberg (Bayern) oder (Vorder-/Hinter-)Buchberg (Bayern)"
H4O02635,"Burchhalden, aufgegangen in Stuttgart (Baden-Württemberg)"
H4O02636,Burgen (Rheinland-Pfalz)
H4O02637,Burghasunger Berg → Hasunger Berg
H4O02638,Burglinster → <i>Linzera</i>
H4O02639,"Burgscheidungen, Burg, Dotalgut Agnes’ (v. Poitou) (Sachsen-Anhalt)"
H4O02640,"Burgund, Königreich"
H4O02641,"<i>Burgundia</i>, <i>provintia</i>, Gebiet in Frankreich oder der Schweiz, entweder Chablais, Gebiet s. d. Genfersees in Frankreich (Haute-Savoie) und zum kleineren Teil in der Schweiz (Wallis/Waadt), oder Bugey, Landschaft im Südosten des frz. Départements Ain, oder das Gebiet Tarentaise in Savoyen in Frankreich sö. Albertville (Savoie)"
H4O02642,"Burtscheid, Kl. → Aachen"
H4O02643,Burtschütz (Sachsen-Anhalt)
H4O02644,Busdorfstift zu Paderborn → Paderborn
H4O02645,"<i>Butaningum</i>, unbekannt, O. in Italien, im Gebiet v. Cremona gelegen (Lombardei)"
H4O02646,"<i>Butinga</i>, unbekannt, möglicherweise Richtung Langenbeutingen gelegen (Baden-Württem-berg)"
H4O02647,Buttstädt (Thüringen)
H4O02648,"<i>Caccerini</i>, unbekannt, O. in Italien, möglicherweise Scandicci (Toskana)"
H4O02649,"Buzet (Pinguente), O. in Kroatien (Istrien)"
H4O02650,"Byzantinisches Reich/Byzanz, Kaiserreich"
H4O02651,"Cadelbosco di Sopra, O. in Italien (Emilia-Romagna)"
H4O02652,"<i>Cadregnano</i>, unbekannt, O. in Italien, wohl bei Gova gelegen (Emilia-Romagna)"
H4O02653,"Cafaggiareggi, O. in Italien (Toskana)"
H4O02654,"Calbenzano, O. in Italien (Toskana)"
H4O02655,"Calceno, O. in Italien (Toskana)"
H4O02656,"Calusco d’Adda, O. in Italien (Lombardei)"
H4O02657,Calw (Baden-Württemberg)
H4O02658,"<i>Calzago</i>, unbekannt, O. in Italien, im Gebiet v. Mantua gelegen (Lombardei)"
H4O02659,"Cambrai, O. in Frankreich (Nord)"
H4O02660,"Camerino, Mark in Italien, sw. Ancona gelegen (Marken)"
H4O02661,"Camerino, Grafschaft in Italien, in den Marken gelegen (Marken)"
H4O02662,"Camin, O. in Italien, aufgegangen in Padua (Venetien)"
H4O02663,"Camino, O. in Italien (Piemont)"
H4O02664,"Campegine, O. in Italien (Emilia-Romagna)"
H4O02665,"Campitello, O. in Italien (Lombardei)"
H4O02666,Campo → <i>Campora</i>
H4O02667,"Campogalliano, O. in Italien (Emilia-Romagna)"
H4O02668,"<i>Campora</i>, O. in Italien, abgegangen bei Campo (Toskana) oder Campora (Emilia-Romagna)"
H4O02669,"Campremoldo Sotto, O. in Italien (Emilia-Romagna)"
H4O02670,"Campriano, O. in Italien (Toskana)"
H4O02671,"Campo di Marte, O. in Italien, heute nö. Stadtteil v. Florenz (Toskana)"
H4O02672,"Campogalliano, O. in Italien (Emilia-Romagna)"
H4O02673,"Canale Cisi, Kanal in Italien (Emilia-Romagna)"
H4O02674,"Canale Corletto, Kanal in Italien (Emilia-Romagna)"
H4O02675,"Canolo, O. in Italien (Emilia-Romagna)"
H4O02676,"Canossa, O. in Italien (Emilia-Romagna)"
H4O02677,"<i>Capauum</i>, unbekannt, O. in Italien, vermutlich im Gebiet v. Verona gelegen (Venetien)"
H4O02678,Capodistria → Koper
H4O02679,Capriata d’Orba → <i>Urba</i>
H4O02680,Caprile → (Sant’Andrea in) Caprile
H4O02681,"Caprognano, O. in Italien, abgegangen am Arno nö. Castelfranco di Sotto (Toskana)"
H4O02682,"Capua, Fürstentum in Italien, um Capua gelegen (Kampanien)"
H4O02683,"Capua, O. in Italien (Kampanien)"
H4O02684,"Carasonne, O. in Italien (Piemont)"
H4O02685,"Carbonara al Ticino, O. in Italien (Lombardei)"
H4O02686,"<i>Carbugnana</i>, unbekannt, wohl in Italien zu suchen"
H4O02687,"Carecto, O. in Italien, abgegangen ö. Brescia (Lombardei)"
H4O02688,"Caresana, O. in Italien (Piemont)"
H4O02689,"Carignan (Ivois), O. in Frankreich (Ardennes)"
H4O02690,"Carmignano, O. in Italien (Venetien)"
H4O02691,"Carpi, Burg Mgf.in Mathildes v. Tuszien-Canossa in Italien (Emilia-Romagna)"
H4O02692,"Carpineti (Carpineto), O. in Italien (Emilia-Romagna)"
H4O02693,Carpineto → Carpineti
H4O02694,"Carrodano, O. in Italien (Ligurien)"
H4O02695,"Casa Gregolo, O. in Italien (Emilia-Romagna)"
H4O02696,"Casanuova, O. bei Acquafredda in Italien (Lombardei)"
H4O02697,"Casalbuttano ed Uniti, O. in Italien (Lombardei)"
H4O02698,"Casale, O. in Italien (Lombardei)"
H4O02699,"Casale, O. in Italien (Toskana)"
H4O02700,"<i>casale Augusti</i>, unbekannt, wohl in Italien zu suchen"
H4O02701,"Casale di Scodosia, O. in Italien (Venetien)"
H4O02702,"Casalmaggiore, O. in Italien (Lombardei)"
H4O02703,"Casalmorano, O. in Italien (Lombardei)"
H4O02704,"Casale Monferrato, O. in Italien (Piemont)"
H4O02705,"Casalmoro, O. in Italien (Lombardei)"
H4O02706,"Casalserugo, O. in Italien (Venetien)"
H4O02707,"Cascina Pecorara, O. in Italien sw. Tortona (Piemont)"
H4O02708,"<i>Casiliclo</i>, unbekannt, wohl in Italien zu suchen"
H4O02709,"Cassel, O. in Frankreich (Nord)"
H4O02710,"Cassino Po, O. in Italien (Lombardei)"
H4O02711,"Castagneto Po, O. in Italien (Piemont)"
H4O02712,"<i>Castagnolum</i>, O. in Italien, vermutlich abgegangen bei Alberoro (Toskana) (wohl kaum Castagnoli [Toskana])"
H4O02713,"Castagnori, Burg in Italien (Toskana)"
H4O02714,Castel d’Ario → <i>Castellario</i>
H4O02715,"Castel Gabbiano, O. in Italien (Lombardei)"
H4O02716,"Castelgomberto (Chiuse), O. in Italien (Venetien)"
H4O02717,"Castellarano, O. in Italien (Emilia-Romagna)"
H4O02718,"<i>Castellario</i>, O. in Italien, Castellaro (Lombardei) und nicht Castel d’Ario (Lombardei)"
H4O02719,Castellaro → <i>Castellario</i>
H4O02720,"Castellazzo Bormida, Grafschaft in Italien, um Castellazzo Bormida gelegen (Piemont)"
H4O02721,"Castellazzo Bormida, O. in Italien, Reichsgut, später Dotalgut Agnes’ (v. Poitou) (Piemont)"
H4O02722,"Castelbaldo, O in Italien, abgegangen nö. Osimo (Marken)"
H4O02723,Castelletto d’Orba → <i>Urba</i>
H4O02724,"Castelleone, O. in Italien (Lombardei)"
H4O02725,"Castello di Annone (Annone), O. in Italien (Piemont)"
H4O02726,"Castellucchino, O. in Italien (Lombardei)"
H4O02727,"Castelnovo neʼMonti, O. in Italien (Emilia-Romagna)"
H4O02728,"Castelnuovo, O. in Italien (Lombardei)"
H4O02729,Castelvecchio → Verona
H4O02730,"Castellvecchio di Sesto, O. in Italien, heute Castelnuovo (Toskana)"
H4O02731,"Castelvetro Piacentino, O. in Italien (Emilia-Romagna)"
H4O02732,"Castiglione Mantovano, O. in Italien (Lombardei)"
H4O02733,"<i>Castrum de Arce</i>, zerstörtes Kastell, heute d. Ki. S. Maria degli Arci → S. Maria degli Arci"
H4O02734,"<i>Castrum Maccla</i>, unbekannt, Kastell in Italien, in der Sabina gelegen (Latium)"
H4O02735,"<i>Castrum Taranianum</i>, unbekannt, Kastell in Italien, in der Sabina gelegen (Latium)"
H4O02736,"<i>Cauda de silva Guini</i>, unbekannt, Waldstück in Italien"
