regid,Lemma
"RI III,2,3 n. 1397",beurkunden
"RI III,2,3 n. 1398",nehmen
"RI III,2,3 n. 1399",vergeben
"RI III,2,3 n. 14",erhalten
"RI III,2,3 n. 1400",danken
"RI III,2,3 n. 1401",bekennen
"RI III,2,3 n. 1402",erhalten
"RI III,2,3 n. 1403",empfangen
"RI III,2,3 n. 1404",kehren
"RI III,2,3 n. 1405",schenken
"RI III,2,3 n. 1406",begehen
"RI III,2,3 n. 1407",werden
"RI III,2,3 n. 1408",schenken
"RI III,2,3 n. 1409",gestatten
"RI III,2,3 n. 1410",verleihen
"RI III,2,3 n. 1411",nehmen
"RI III,2,3 n. 1412",bestätigen
"RI III,2,3 n. 1413",verleihen
"RI III,2,3 n. 1414",zeihen|ziehen
"RI III,2,3 n. 1415",setzen
"RI III,2,3 n. 1416",senden
"RI III,2,3 n. 1417",verhandeln
"RI III,2,3 n. 1418",begehen
"RI III,2,3 n. 1419",bestellen
"RI III,2,3 n. 1420",senden
"RI III,2,3 n. 1421",werden
"RI III,2,3 n. 1422",schenken
"RI III,2,3 n. 1423",beglaubigen
"RI III,2,3 n. 1424",investieren
"RI III,2,3 n. 1425",nehmen
"RI III,2,3 n. 1426",enterben
"RI III,2,3 n. 1427",untersuchen
"RI III,2,3 n. 1428",bestätigen
"RI III,2,3 n. 1429",bestätigen
"RI III,2,3 n. 143",werden
"RI III,2,3 n. 1430",begehen
"RI III,2,3 n. 1431",lassen
"RI III,2,3 n. 1432",belehnen
"RI III,2,3 n. 1433",begehen
"RI III,2,3 n. 1434",entsenden
"RI III,2,3 n. 1435",designieren
"RI III,2,3 n. 1436",restituieren
"RI III,2,3 n. 1437",begehen
"RI III,2,3 n. 1438",geben
"RI III,2,3 n. 1439",begehen
"RI III,2,3 n. 1440",bitten
"RI III,2,3 n. 1441",ernennen
"RI III,2,3 n. 1442",verleihen
"RI III,2,3 n. 1443",begehen
"RI III,2,3 n. 1444",befehlen
"RI III,2,3 n. 1445",laden
"RI III,2,3 n. 1446",gestatten
"RI III,2,3 n. 1447",werden
"RI III,2,3 n. 1448",begehen
"RI III,2,3 n. 1449",belehnen
"RI III,2,3 n. 145",begeben
"RI III,2,3 n. 1450",restituieren
"RI III,2,3 n. 1451",bestätigen
"RI III,2,3 n. 1452",begehen
"RI III,2,3 n. 1453",bestätigen
"RI III,2,3 n. 1455",setzen
"RI III,2,3 n. 1456",beginnen
"RI III,2,3 n. 1457",entsenden
"RI III,2,3 n. 1458",lassen
"RI III,2,3 n. 1459",restituieren
"RI III,2,3 n. 1460",restituieren
"RI III,2,3 n. 1461",beurkunden
"RI III,2,3 n. 1462",belehnen
"RI III,2,3 n. 1463",schenken
"RI III,2,3 n. 1464",werden
"RI III,2,3 n. 1465",begehen
"RI III,2,3 n. 1466",ernennen
"RI III,2,3 n. 1467",werden
"RI III,2,3 n. 1468",bestätigen
"RI III,2,3 n. 1469",führen
"RI III,2,3 n. 1470",setzen
"RI III,2,3 n. 1471",übertragen
"RI III,2,3 n. 1473",schenken
"RI III,2,3 n. 1474",werden
"RI III,2,3 n. 1475",zeihen|ziehen
"RI III,2,3 n. 1476",erklären
"RI III,2,3 n. 1477",bitten
"RI III,2,3 n. 1478",bitten
"RI III,2,3 n. 1479",bitten
"RI III,2,3 n. 1480",bitten
"RI III,2,3 n. 1481",werden
"RI III,2,3 n. 1482",begehen
"RI III,2,3 n. 1483",verkünden
"RI III,2,3 n. 1484",sein
"RI III,2,3 n. 1485",gratulieren
"RI III,2,3 n. 1486",nehmen
"RI III,2,3 n. 1487",feiern
"RI III,2,3 n. 1488",untersagen
"RI III,2,3 n. 1489",bestätigen
"RI III,2,3 n. 1490",schenken
"RI III,2,3 n. 1491",schenken
"RI III,2,3 n. 1492",schenken
"RI III,2,3 n. 1493",begehen
"RI III,2,3 n. 1494",werden
"RI III,2,3 n. 1495",fordern
"RI III,2,3 n. 1496",leisten
"RI III,2,3 n. 1497",werden
"RI III,2,3 n. 1498",werden
"RI III,2,3 n. 1499",restituieren
"RI III,2,3 n. 15",folgen
"RI III,2,3 n. 1500",begehen
"RI III,2,3 n. 1501",begehen
"RI III,2,3 n. 1502",bestätigen
"RI III,2,3 n. 1503",erlassen
"RI III,2,3 n. 1504",bestätigen
"RI III,2,3 n. 1505",brechen
"RI III,2,3 n. 1506",wenden
"RI III,2,3 n. 1507",begehen
"RI III,2,3 n. 1508",entsenden
"RI III,2,3 n. 1509",bestätigen
"RI III,2,3 n. 1510",ernennen
"RI III,2,3 n. 1511",begehen
"RI III,2,3 n. 1512",sehen
"RI III,2,3 n. 1513",trennen
"RI III,2,3 n. 1514",beklagen
"RI III,2,3 n. 1515",brechen
"RI III,2,3 n. 1516",nehmen
"RI III,2,3 n. 1517",fordern
"RI III,2,3 n. 1518",wenden
"RI III,2,3 n. 1519",werden
"RI III,2,3 n. 1520",brechen
"RI III,2,3 n. 1521",nehmen
"RI III,2,3 n. 1522",setzen
"RI III,2,3 n. 1523",stehen
"RI III,2,3 n. 1524",verlassen
"RI III,2,3 n. 1525",brechen
"RI III,2,3 n. 1526",senden
"RI III,2,3 n. 1527",schenken
"RI III,2,3 n. 1528",schenken
"RI III,2,3 n. 1529",brechen
"RI III,2,3 n. 1530",treffen
"RI III,2,3 n. 1531",werden
"RI III,2,3 n. 1532",verbringen
"RI III,2,3 n. 1533",werden
"RI III,2,3 n. 1534",übertragen
