ID,,Anzahl,Original,Alternativname,normalisiertDeutsch,Long,Lat,wikidataId,GettyId,GeonamesId,Kommentar,Zuordnung,Lage,Sicherheit,InstInDerStadt,wikidata-id inst,Geonames-id inst,,,,,,,,GND
1315,0,2,Aachen <em>(in regio palatio Aquisgrani) </em>,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
3119,0,2,Aquis pal nostro,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
11527,0,2,[Aachen]<sup>1</sup>,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
1316,0,2,Aachen<sup>1</sup>,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
3130,0,2,Aquisgranum,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,Philipp,0,0,0,0,
3107,0,3,Aquensi pal.,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
3125,0,3,Aquisgrani pal .r.,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,Philipp,0,0,0,0,
6579,0,4,in obsidione Aquensi,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,Umland,,,,,0,0,0,0,0,0,0,
1455,0,4,ad palatium Aquis,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
1572,0,4,Aguis pal.,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
3106,0,4,Aquense pal.,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
3121,0,4,Aquis pal. publ.,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
3127,0,4,Aquisgrani pal. nostro,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
3101,0,4,Aquas,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,Otto IV.,0,0,0,0,
4478,0,4,coram Aquis,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
2589,0,5,Aquis,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,,,0,Philipp 1194 apr. 18 Aquis,5,1,12,
